cell_type,n,nt,sc,dom_layer,layer_b_pct,tot,contra_pct,out_syn
"(PLP191,PLP192)a",7,acetylcholine,central,,,,1.19,2176.0
"(PLP191,PLP192)b",10,acetylcholine,central,,,,2.55,2118.0
"(PS023,PS024)a",3,acetylcholine,central,,,,5.52,887.0
"(PS023,PS024)b",6,acetylcholine,central,,,,4.99,1862.0
5-HT-IR  Tan,6,serotonin,optic,,,,1.41,142.0
5-HTPLP01,4,glutamate,central,,,,4.67,28394.0
5-HTPMPD01,2,dopamine,central,,,,44.19,1016.0
5-HTPMPV01,2,dopamine,central,,,,88.95,1267.0
5-HTPMPV03,2,dopamine,visual_centrifugal,a,25.0,8.0,61.02,5192.0
AC neuron,4,acetylcholine,central,,,,38.43,1275.0
AL-AST1,2,acetylcholine,central,,,,9.2,4814.0
AL-MBDL1,2,acetylcholine,central,,,,49.51,14251.0
ALBN1,2,gaba,central,,,,94.76,5114.0
ALIN1,4,glutamate,central,,,,50.85,5355.0
ALIN2,2,glutamate,central,,,,8.9,5676.0
ALIN3,4,acetylcholine,central,,,,39.83,3618.0
ALIN4,2,gaba,central,,,,51.39,2197.0
ALIN5,2,gaba,central,,,,88.1,9335.0
ALIN6,2,gaba,central,,,,85.76,3806.0
ALIN7,2,gaba,central,,,,72.76,3480.0
ALIN8,2,acetylcholine,central,,,,92.97,1337.0
ALON1,2,acetylcholine,central,,,,11.49,2655.0
ALON2,2,acetylcholine,central,,,,43.31,1935.0
ALON3,4,gaba,central,,,,11.31,2060.0
AMMC-A1,5,acetylcholine,central,,,,20.0,1220.0
AMMC028,4,gaba,central,,,,6.15,6792.0
AN01A021,2,serotonin,ascending,,,,34.44,331.0
AN19A018,2,acetylcholine,ascending,,,,30.81,1347.0
ANXXX005,3,serotonin,ascending,,,,29.53,149.0
AN_AMMC_SAD_1,4,glutamate,ascending,,,,8.51,987.0
AN_AMMC_SAD_2,2,gaba,ascending,,,,9.88,648.0
AN_AVLP_1,2,acetylcholine,ascending,,,,3.53,5160.0
AN_AVLP_10,2,gaba,ascending,,,,0.54,5322.0
AN_AVLP_11,2,acetylcholine,ascending,,,,3.65,6247.0
AN_AVLP_12,2,acetylcholine,ascending,,,,1.49,4219.0
AN_AVLP_13,2,acetylcholine,ascending,,,,2.32,1549.0
AN_AVLP_14,2,acetylcholine,ascending,,,,10.28,6704.0
AN_AVLP_15,2,acetylcholine,ascending,,,,7.32,1982.0
AN_AVLP_16,2,acetylcholine,ascending,,,,5.82,3971.0
AN_AVLP_17,2,acetylcholine,ascending,,,,11.19,1037.0
AN_AVLP_18,2,acetylcholine,ascending,,,,0.74,6861.0
AN_AVLP_19,2,acetylcholine,ascending,,,,8.68,3721.0
AN_AVLP_2,2,acetylcholine,ascending,,,,1.14,3586.0
AN_AVLP_20,2,acetylcholine,ascending,,,,8.26,8773.0
AN_AVLP_21,2,acetylcholine,ascending,,,,4.48,5311.0
AN_AVLP_22,2,gaba,ascending,,,,5.57,2888.0
AN_AVLP_23,2,acetylcholine,ascending,,,,1.35,5098.0
AN_AVLP_24,2,acetylcholine,ascending,,,,0.72,6907.0
AN_AVLP_25,2,acetylcholine,ascending,,,,0.11,4520.0
AN_AVLP_26,2,acetylcholine,ascending,,,,4.57,2033.0
AN_AVLP_27,4,acetylcholine,ascending,,,,10.24,1660.0
AN_AVLP_28,8,acetylcholine,ascending,,,,16.01,581.0
AN_AVLP_29,2,acetylcholine,ascending,,,,0.2,5952.0
AN_AVLP_3,2,acetylcholine,ascending,,,,2.82,5532.0
AN_AVLP_30,2,gaba,ascending,,,,10.12,6129.0
AN_AVLP_31,2,acetylcholine,ascending,,,,3.49,5103.0
AN_AVLP_32,2,acetylcholine,ascending,,,,0.74,5514.0
AN_AVLP_33,2,acetylcholine,ascending,,,,1.63,6131.0
AN_AVLP_34,6,acetylcholine,ascending,,,,1.52,8219.0
AN_AVLP_35,2,acetylcholine,ascending,,,,2.03,5459.0
AN_AVLP_36,2,acetylcholine,ascending,,,,0.29,4131.0
AN_AVLP_37,2,gaba,ascending,,,,1.15,1214.0
AN_AVLP_38,2,gaba,ascending,,,,0.8,1498.0
AN_AVLP_39,2,glutamate,ascending,,,,2.31,1821.0
AN_AVLP_4,2,acetylcholine,ascending,,,,21.83,1942.0
AN_AVLP_40,2,acetylcholine,ascending,,,,0.0,2999.0
AN_AVLP_41,4,acetylcholine,ascending,,,,3.99,5715.0
AN_AVLP_42,4,acetylcholine,ascending,,,,0.21,2920.0
AN_AVLP_43,6,acetylcholine,ascending,,,,0.54,6088.0
AN_AVLP_44,2,acetylcholine,ascending,,,,2.56,3442.0
AN_AVLP_45,6,acetylcholine,ascending,,,,0.02,5837.0
AN_AVLP_46,5,acetylcholine,ascending,,,,0.61,1799.0
AN_AVLP_47,2,acetylcholine,ascending,,,,2.88,2713.0
AN_AVLP_48,9,acetylcholine,ascending,,,,11.65,1932.0
AN_AVLP_49,2,acetylcholine,ascending,,,,0.89,5277.0
AN_AVLP_5,2,gaba,ascending,,,,27.64,1657.0
AN_AVLP_50,2,acetylcholine,ascending,,,,2.22,2791.0
AN_AVLP_51,17,acetylcholine,ascending,,,,9.39,3644.0
AN_AVLP_52,2,gaba,ascending,,,,4.19,3200.0
AN_AVLP_53,27,acetylcholine,ascending,,,,4.13,6128.0
AN_AVLP_54,4,acetylcholine,ascending,,,,5.36,6551.0
AN_AVLP_6,2,acetylcholine,ascending,,,,0.09,5378.0
AN_AVLP_7,2,acetylcholine,ascending,,,,0.28,4656.0
AN_AVLP_8,2,gaba,ascending,,,,5.51,3704.0
AN_AVLP_9,2,gaba,ascending,,,,3.96,3913.0
AN_AVLP_GNG_1,2,acetylcholine,ascending,,,,15.11,2733.0
AN_AVLP_GNG_10,2,gaba,ascending,,,,6.71,4276.0
AN_AVLP_GNG_11,2,acetylcholine,ascending,,,,9.06,3111.0
AN_AVLP_GNG_12,2,gaba,ascending,,,,14.73,509.0
AN_AVLP_GNG_13,3,gaba,ascending,,,,5.14,1323.0
AN_AVLP_GNG_14,2,gaba,ascending,,,,9.6,844.0
AN_AVLP_GNG_15,2,gaba,ascending,,,,22.24,805.0
AN_AVLP_GNG_16,2,gaba,ascending,,,,9.09,2146.0
AN_AVLP_GNG_17,2,acetylcholine,ascending,,,,11.57,3214.0
AN_AVLP_GNG_18,2,acetylcholine,ascending,,,,8.71,3741.0
AN_AVLP_GNG_19,2,acetylcholine,ascending,,,,14.64,3778.0
AN_AVLP_GNG_2,2,gaba,ascending,,,,15.12,1045.0
AN_AVLP_GNG_20,2,gaba,ascending,,,,22.19,1636.0
AN_AVLP_GNG_21,6,acetylcholine,ascending,,,,20.83,2943.0
AN_AVLP_GNG_22,4,acetylcholine,ascending,,,,12.9,2435.0
AN_AVLP_GNG_23,15,gaba,ascending,,,,12.72,5582.0
AN_AVLP_GNG_3,2,gaba,ascending,,,,4.99,3625.0
AN_AVLP_GNG_4,2,acetylcholine,ascending,,,,16.09,2598.0
AN_AVLP_GNG_5,2,acetylcholine,ascending,,,,13.58,854.0
AN_AVLP_GNG_6,2,acetylcholine,ascending,,,,12.12,2203.0
AN_AVLP_GNG_7,4,gaba,ascending,,,,13.32,1336.0
AN_AVLP_GNG_8,2,acetylcholine,ascending,,,,13.73,3371.0
AN_AVLP_GNG_9,2,acetylcholine,ascending,,,,12.51,3461.0
AN_AVLP_PVLP_1,2,acetylcholine,ascending,,,,10.68,4315.0
AN_AVLP_PVLP_10,2,acetylcholine,ascending,,,,7.37,4828.0
AN_AVLP_PVLP_2,2,acetylcholine,ascending,,,,5.8,5242.0
AN_AVLP_PVLP_3,2,gaba,ascending,,,,2.28,8544.0
AN_AVLP_PVLP_4,2,acetylcholine,ascending,,,,5.44,6357.0
AN_AVLP_PVLP_5,2,acetylcholine,ascending,,,,7.28,5400.0
AN_AVLP_PVLP_6,2,acetylcholine,ascending,,,,4.86,4319.0
AN_AVLP_PVLP_7,2,acetylcholine,ascending,,,,4.63,4427.0
AN_AVLP_PVLP_8,2,acetylcholine,ascending,,,,2.86,6291.0
AN_AVLP_PVLP_9,2,acetylcholine,ascending,,,,3.2,6118.0
AN_AVLP_SAD_1,2,acetylcholine,ascending,,,,31.77,683.0
AN_AVLP_SAD_2,2,gaba,ascending,,,,4.28,4252.0
AN_AVLP_SAD_3,2,gaba,ascending,,,,4.03,1588.0
AN_AVLP_SAD_5,4,acetylcholine,ascending,,,,6.29,350.0
AN_FLA_1,2,glutamate,ascending,,,,8.21,280.0
AN_FLA_GNG_1,4,glutamate,ascending,,,,50.31,978.0
AN_FLA_GNG_2,2,acetylcholine,ascending,,,,13.69,723.0
AN_FLA_PRW_1,2,glutamate,ascending,,,,42.01,3168.0
AN_FLA_PRW_2,4,acetylcholine,ascending,,,,50.37,1497.0
AN_FLA_SMP_1,2,serotonin,ascending,,,,46.03,315.0
AN_FLA_SMP_2,2,serotonin,ascending,,,,45.79,1662.0
AN_FLA_VES_1,2,acetylcholine,ascending,,,,33.62,589.0
AN_FLA_VES_2,2,acetylcholine,ascending,,,,30.3,462.0
AN_GNG_1,2,acetylcholine,ascending,,,,41.67,12.0
AN_GNG_10,2,acetylcholine,ascending,,,,6.15,780.0
AN_GNG_100,2,gaba,ascending,,,,13.16,1626.0
AN_GNG_101,2,gaba,ascending,,,,44.19,1378.0
AN_GNG_102,2,glutamate,ascending,,,,50.36,139.0
AN_GNG_103,3,glutamate,ascending,,,,60.89,248.0
AN_GNG_104,2,glutamate,ascending,,,,26.47,34.0
AN_GNG_105,2,acetylcholine,ascending,,,,42.86,1169.0
AN_GNG_106,2,gaba,ascending,,,,26.39,288.0
AN_GNG_107,2,acetylcholine,ascending,,,,48.79,8212.0
AN_GNG_108,2,acetylcholine,ascending,,,,32.55,934.0
AN_GNG_109,2,gaba,ascending,,,,49.67,8070.0
AN_GNG_11,2,acetylcholine,ascending,,,,11.24,1512.0
AN_GNG_110,2,acetylcholine,ascending,,,,36.84,171.0
AN_GNG_111,2,serotonin,ascending,,,,50.0,2916.0
AN_GNG_112,2,acetylcholine,ascending,,,,35.83,893.0
AN_GNG_113,2,acetylcholine,ascending,,,,19.11,827.0
AN_GNG_114,2,gaba,ascending,,,,1.64,244.0
AN_GNG_115,2,acetylcholine,ascending,,,,22.55,643.0
AN_GNG_116,2,acetylcholine,ascending,,,,21.71,502.0
AN_GNG_117,2,acetylcholine,ascending,,,,51.42,457.0
AN_GNG_118,2,acetylcholine,ascending,,,,33.55,459.0
AN_GNG_119,2,gaba,ascending,,,,10.0,290.0
AN_GNG_12,2,gaba,ascending,,,,12.9,1101.0
AN_GNG_120,2,glutamate,ascending,,,,42.62,359.0
AN_GNG_121,2,acetylcholine,ascending,,,,12.82,273.0
AN_GNG_122,2,acetylcholine,ascending,,,,36.73,196.0
AN_GNG_123,2,gaba,ascending,,,,7.3,1410.0
AN_GNG_124,4,gaba,ascending,,,,50.0,2.0
AN_GNG_125,2,gaba,ascending,,,,1.72,349.0
AN_GNG_126,2,gaba,ascending,,,,19.85,1199.0
AN_GNG_127,2,gaba,ascending,,,,18.32,917.0
AN_GNG_128,2,gaba,ascending,,,,17.07,1154.0
AN_GNG_129,2,gaba,ascending,,,,29.03,310.0
AN_GNG_13,2,acetylcholine,ascending,,,,10.53,1482.0
AN_GNG_130,2,acetylcholine,ascending,,,,0.0,11.0
AN_GNG_131,2,acetylcholine,ascending,,,,17.63,278.0
AN_GNG_132,2,glutamate,ascending,,,,7.14,392.0
AN_GNG_133,2,gaba,ascending,,,,18.73,1500.0
AN_GNG_134,2,acetylcholine,ascending,,,,57.92,568.0
AN_GNG_135,2,gaba,ascending,,,,24.62,333.0
AN_GNG_136,2,acetylcholine,ascending,,,,32.8,439.0
AN_GNG_137,2,gaba,ascending,,,,26.95,141.0
AN_GNG_138,2,gaba,ascending,,,,23.38,385.0
AN_GNG_139,2,acetylcholine,ascending,,,,37.75,204.0
AN_GNG_14,2,acetylcholine,ascending,,,,52.76,796.0
AN_GNG_140,4,acetylcholine,ascending,,,,33.22,1186.0
AN_GNG_141,2,acetylcholine,ascending,,,,10.58,690.0
AN_GNG_142,6,acetylcholine,ascending,,,,15.85,265.0
AN_GNG_143,2,acetylcholine,ascending,,,,10.33,397.0
AN_GNG_144,2,acetylcholine,ascending,,,,15.97,432.0
AN_GNG_145,2,acetylcholine,ascending,,,,14.5,862.0
AN_GNG_146,2,acetylcholine,ascending,,,,37.14,175.0
AN_GNG_147,2,acetylcholine,ascending,,,,41.92,842.0
AN_GNG_148,6,acetylcholine,ascending,,,,40.77,1430.0
AN_GNG_149,4,acetylcholine,ascending,,,,46.45,1309.0
AN_GNG_15,2,acetylcholine,ascending,,,,2.66,639.0
AN_GNG_150,2,gaba,ascending,,,,16.51,624.0
AN_GNG_151,2,octopamine,ascending,,,,33.14,341.0
AN_GNG_152,2,serotonin,ascending,,,,42.61,1136.0
AN_GNG_153,2,gaba,ascending,,,,45.68,1935.0
AN_GNG_154,2,serotonin,ascending,,,,33.82,1629.0
AN_GNG_155,2,gaba,ascending,,,,7.71,1168.0
AN_GNG_156,2,acetylcholine,ascending,,,,12.01,1540.0
AN_GNG_157,2,gaba,ascending,,,,27.46,448.0
AN_GNG_158,2,glutamate,ascending,,,,6.95,2994.0
AN_GNG_159,4,acetylcholine,ascending,,,,35.61,1449.0
AN_GNG_16,2,gaba,ascending,,,,9.24,1417.0
AN_GNG_160,2,acetylcholine,ascending,,,,19.73,897.0
AN_GNG_161,3,acetylcholine,ascending,,,,18.26,115.0
AN_GNG_162,8,acetylcholine,ascending,,,,24.97,5439.0
AN_GNG_163,7,acetylcholine,ascending,,,,44.64,952.0
AN_GNG_164,11,acetylcholine,ascending,,,,21.79,2496.0
AN_GNG_165,38,acetylcholine,ascending,,,,34.72,2503.0
AN_GNG_166,11,acetylcholine,ascending,,,,43.77,578.0
AN_GNG_167,10,glutamate,ascending,,,,54.06,2107.0
AN_GNG_168,3,glutamate,ascending,,,,45.43,427.0
AN_GNG_169,4,acetylcholine,ascending,,,,10.08,645.0
AN_GNG_17,2,serotonin,ascending,,,,15.96,94.0
AN_GNG_170,2,acetylcholine,ascending,,,,6.48,880.0
AN_GNG_171,4,acetylcholine,ascending,,,,19.34,760.0
AN_GNG_172,16,acetylcholine,ascending,,,,3.1,419.0
AN_GNG_173,4,acetylcholine,ascending,,,,3.9,487.0
AN_GNG_174,2,acetylcholine,ascending,,,,3.9,154.0
AN_GNG_175,27,acetylcholine,ascending,,,,11.3,3618.0
AN_GNG_176,3,acetylcholine,ascending,,,,7.87,89.0
AN_GNG_177,5,acetylcholine,ascending,,,,18.41,315.0
AN_GNG_178,6,gaba,ascending,,,,48.19,3611.0
AN_GNG_179,8,acetylcholine,ascending,,,,4.14,483.0
AN_GNG_18,2,acetylcholine,ascending,,,,24.7,1417.0
AN_GNG_180,4,glutamate,ascending,,,,25.36,1404.0
AN_GNG_181,4,gaba,ascending,,,,29.95,2017.0
AN_GNG_182,5,acetylcholine,ascending,,,,38.09,961.0
AN_GNG_183,4,acetylcholine,ascending,,,,38.19,974.0
AN_GNG_184,7,acetylcholine,ascending,,,,35.68,185.0
AN_GNG_185,4,acetylcholine,ascending,,,,34.01,294.0
AN_GNG_186,4,acetylcholine,ascending,,,,49.32,442.0
AN_GNG_187,9,acetylcholine,ascending,,,,43.76,1026.0
AN_GNG_188,5,gaba,ascending,,,,23.83,1372.0
AN_GNG_189,2,gaba,ascending,,,,24.07,810.0
AN_GNG_19,2,gaba,ascending,,,,15.46,1423.0
AN_GNG_190,5,acetylcholine,ascending,,,,34.92,925.0
AN_GNG_191,5,acetylcholine,ascending,,,,47.36,832.0
AN_GNG_192,6,glutamate,ascending,,,,39.95,776.0
AN_GNG_193,5,glutamate,ascending,,,,50.57,437.0
AN_GNG_194,3,serotonin,ascending,,,,41.54,65.0
AN_GNG_195,2,serotonin,ascending,,,,33.26,436.0
AN_GNG_196,6,serotonin,ascending,,,,16.63,968.0
AN_GNG_197,15,gaba,ascending,,,,34.97,3855.0
AN_GNG_198,4,gaba,ascending,,,,41.56,4832.0
AN_GNG_199,3,acetylcholine,ascending,,,,45.5,433.0
AN_GNG_2,2,acetylcholine,ascending,,,,48.81,967.0
AN_GNG_20,2,dopamine,ascending,,,,16.75,197.0
AN_GNG_200,6,gaba,ascending,,,,32.01,1334.0
AN_GNG_201,3,acetylcholine,ascending,,,,8.44,687.0
AN_GNG_202,2,acetylcholine,ascending,,,,15.86,353.0
AN_GNG_203,3,acetylcholine,ascending,,,,7.37,692.0
AN_GNG_204,8,glutamate,ascending,,,,29.41,17.0
AN_GNG_21,2,acetylcholine,ascending,,,,14.96,2567.0
AN_GNG_22,4,acetylcholine,ascending,,,,16.47,1548.0
AN_GNG_23,2,gaba,ascending,,,,12.11,1750.0
AN_GNG_24,2,acetylcholine,ascending,,,,16.73,765.0
AN_GNG_25,2,acetylcholine,ascending,,,,14.86,2053.0
AN_GNG_26,2,gaba,ascending,,,,40.63,1649.0
AN_GNG_27,2,acetylcholine,ascending,,,,16.72,311.0
AN_GNG_28,2,acetylcholine,ascending,,,,10.83,923.0
AN_GNG_29,2,gaba,ascending,,,,15.97,1509.0
AN_GNG_3,2,acetylcholine,ascending,,,,6.47,371.0
AN_GNG_30,2,acetylcholine,ascending,,,,17.59,1865.0
AN_GNG_31,2,gaba,ascending,,,,27.83,115.0
AN_GNG_32,2,acetylcholine,ascending,,,,32.55,2670.0
AN_GNG_33,2,acetylcholine,ascending,,,,13.02,699.0
AN_GNG_34,2,gaba,ascending,,,,22.51,271.0
AN_GNG_35,2,gaba,ascending,,,,39.76,332.0
AN_GNG_36,2,acetylcholine,ascending,,,,10.03,1505.0
AN_GNG_37,2,acetylcholine,ascending,,,,8.31,794.0
AN_GNG_38,2,gaba,ascending,,,,6.47,1545.0
AN_GNG_39,2,gaba,ascending,,,,35.28,1902.0
AN_GNG_4,2,acetylcholine,ascending,,,,23.76,808.0
AN_GNG_40,2,acetylcholine,ascending,,,,17.56,1293.0
AN_GNG_41,2,gaba,ascending,,,,11.42,1637.0
AN_GNG_42,2,acetylcholine,ascending,,,,13.33,435.0
AN_GNG_43,3,acetylcholine,ascending,,,,58.27,1565.0
AN_GNG_44,2,acetylcholine,ascending,,,,0.84,476.0
AN_GNG_45,2,acetylcholine,ascending,,,,8.81,1294.0
AN_GNG_46,2,glutamate,ascending,,,,25.08,945.0
AN_GNG_47,2,acetylcholine,ascending,,,,16.41,2169.0
AN_GNG_48,2,acetylcholine,ascending,,,,16.25,240.0
AN_GNG_49,2,gaba,ascending,,,,21.34,1392.0
AN_GNG_5,2,gaba,ascending,,,,9.05,2088.0
AN_GNG_51,2,gaba,ascending,,,,40.42,2098.0
AN_GNG_52,2,acetylcholine,ascending,,,,39.88,1013.0
AN_GNG_53,2,acetylcholine,ascending,,,,52.64,1193.0
AN_GNG_54,2,acetylcholine,ascending,,,,44.44,1269.0
AN_GNG_55,2,acetylcholine,ascending,,,,29.27,123.0
AN_GNG_56,2,glutamate,ascending,,,,32.27,1379.0
AN_GNG_57,2,gaba,ascending,,,,12.67,1121.0
AN_GNG_58,2,acetylcholine,ascending,,,,3.5,200.0
AN_GNG_59,4,acetylcholine,ascending,,,,5.1,510.0
AN_GNG_6,2,acetylcholine,ascending,,,,11.7,1128.0
AN_GNG_60,4,glutamate,ascending,,,,12.11,2817.0
AN_GNG_61,2,acetylcholine,ascending,,,,16.56,157.0
AN_GNG_62,2,gaba,ascending,,,,30.31,541.0
AN_GNG_63,2,gaba,ascending,,,,51.22,654.0
AN_GNG_64,2,gaba,ascending,,,,3.85,1972.0
AN_GNG_65,2,gaba,ascending,,,,20.8,1654.0
AN_GNG_66,2,glutamate,ascending,,,,23.77,1775.0
AN_GNG_67,2,gaba,ascending,,,,37.18,1665.0
AN_GNG_68,2,gaba,ascending,,,,23.93,1003.0
AN_GNG_69,11,gaba,ascending,,,,20.93,2590.0
AN_GNG_7,2,acetylcholine,ascending,,,,9.9,1000.0
AN_GNG_70,2,serotonin,ascending,,,,32.02,709.0
AN_GNG_71,2,acetylcholine,ascending,,,,25.18,1668.0
AN_GNG_72,2,glutamate,ascending,,,,55.19,462.0
AN_GNG_73,2,gaba,ascending,,,,10.52,2168.0
AN_GNG_74,2,gaba,ascending,,,,36.35,1004.0
AN_GNG_75,2,glutamate,ascending,,,,49.12,623.0
AN_GNG_76,2,acetylcholine,ascending,,,,49.62,1445.0
AN_GNG_77,2,acetylcholine,ascending,,,,4.44,360.0
AN_GNG_78,2,acetylcholine,ascending,,,,38.95,95.0
AN_GNG_79,2,acetylcholine,ascending,,,,13.17,1701.0
AN_GNG_8,2,acetylcholine,ascending,,,,18.02,655.0
AN_GNG_80,2,gaba,ascending,,,,5.47,2725.0
AN_GNG_81,2,acetylcholine,ascending,,,,27.43,1367.0
AN_GNG_82,2,glutamate,ascending,,,,8.28,447.0
AN_GNG_83,2,acetylcholine,ascending,,,,31.17,956.0
AN_GNG_84,2,acetylcholine,ascending,,,,43.14,153.0
AN_GNG_85,2,acetylcholine,ascending,,,,59.79,286.0
AN_GNG_86,2,acetylcholine,ascending,,,,37.31,201.0
AN_GNG_87,2,acetylcholine,ascending,,,,33.39,644.0
AN_GNG_88,2,acetylcholine,ascending,,,,35.44,79.0
AN_GNG_89,2,acetylcholine,ascending,,,,28.23,1647.0
AN_GNG_9,2,acetylcholine,ascending,,,,26.26,575.0
AN_GNG_90,3,acetylcholine,ascending,,,,46.43,28.0
AN_GNG_91,2,acetylcholine,ascending,,,,19.34,2906.0
AN_GNG_92,7,acetylcholine,ascending,,,,52.24,1275.0
AN_GNG_93,2,gaba,ascending,,,,11.28,780.0
AN_GNG_94,4,acetylcholine,ascending,,,,38.83,927.0
AN_GNG_95,2,acetylcholine,ascending,,,,27.36,106.0
AN_GNG_96,2,acetylcholine,ascending,,,,15.62,1216.0
AN_GNG_97,2,acetylcholine,ascending,,,,40.29,747.0
AN_GNG_98,2,acetylcholine,ascending,,,,23.46,1138.0
AN_GNG_99,3,glutamate,ascending,,,,12.06,1542.0
AN_GNG_AMMC_1,2,gaba,ascending,,,,37.11,2463.0
AN_GNG_AMMC_2,2,gaba,ascending,,,,31.3,805.0
AN_GNG_AMMC_3,2,gaba,ascending,,,,37.25,1780.0
AN_GNG_AVLP_1,4,acetylcholine,ascending,,,,25.61,773.0
AN_GNG_AVLP_2,2,glutamate,ascending,,,,28.36,691.0
AN_GNG_FLA_1,2,gaba,ascending,,,,20.41,2009.0
AN_GNG_FLA_2,2,acetylcholine,ascending,,,,14.31,2341.0
AN_GNG_FLA_3,2,acetylcholine,ascending,,,,40.03,742.0
AN_GNG_FLA_4,2,dopamine,ascending,,,,40.86,394.0
AN_GNG_FLA_5,2,glutamate,ascending,,,,20.24,252.0
AN_GNG_FLA_6,2,gaba,ascending,,,,46.54,926.0
AN_GNG_IPS_1,2,acetylcholine,ascending,,,,14.24,1180.0
AN_GNG_IPS_10,2,acetylcholine,ascending,,,,25.65,729.0
AN_GNG_IPS_11,2,acetylcholine,ascending,,,,33.18,880.0
AN_GNG_IPS_12,2,glutamate,ascending,,,,3.05,754.0
AN_GNG_IPS_13,3,acetylcholine,ascending,,,,6.87,1005.0
AN_GNG_IPS_14,7,acetylcholine,ascending,,,,7.98,677.0
AN_GNG_IPS_15,3,acetylcholine,ascending,,,,15.43,337.0
AN_GNG_IPS_16,3,acetylcholine,ascending,,,,22.93,471.0
AN_GNG_IPS_17,3,acetylcholine,ascending,,,,16.15,706.0
AN_GNG_IPS_18,5,acetylcholine,ascending,,,,2.63,342.0
AN_GNG_IPS_19,10,acetylcholine,ascending,,,,4.94,628.0
AN_GNG_IPS_2,2,acetylcholine,ascending,,,,27.07,1086.0
AN_GNG_IPS_20,4,acetylcholine,ascending,,,,7.17,586.0
AN_GNG_IPS_3,2,acetylcholine,ascending,,,,4.25,2468.0
AN_GNG_IPS_4,2,acetylcholine,ascending,,,,10.41,413.0
AN_GNG_IPS_5,2,gaba,ascending,,,,3.0,1469.0
AN_GNG_IPS_6,2,acetylcholine,ascending,,,,4.26,1385.0
AN_GNG_IPS_7,2,acetylcholine,ascending,,,,6.29,1192.0
AN_GNG_IPS_8,2,glutamate,ascending,,,,2.07,1355.0
AN_GNG_IPS_9,2,glutamate,ascending,,,,14.78,318.0
AN_GNG_LAL_1,2,acetylcholine,ascending,,,,8.51,1034.0
AN_GNG_PRW_1,2,gaba,ascending,,,,16.16,2048.0
AN_GNG_PRW_2,2,gaba,ascending,,,,50.83,2101.0
AN_GNG_PRW_3,2,acetylcholine,ascending,,,,27.28,1840.0
AN_GNG_PRW_4,2,gaba,ascending,,,,34.79,1437.0
AN_GNG_SAD33,2,gaba,ascending,,,,23.42,1806.0
AN_GNG_SAD_1,2,acetylcholine,ascending,,,,36.62,710.0
AN_GNG_SAD_10,2,acetylcholine,ascending,,,,34.75,892.0
AN_GNG_SAD_11,2,acetylcholine,ascending,,,,47.11,1004.0
AN_GNG_SAD_12,2,acetylcholine,ascending,,,,20.28,2140.0
AN_GNG_SAD_13,2,acetylcholine,ascending,,,,53.74,1003.0
AN_GNG_SAD_14,2,gaba,ascending,,,,40.62,965.0
AN_GNG_SAD_15,2,acetylcholine,ascending,,,,47.76,1160.0
AN_GNG_SAD_16,2,acetylcholine,ascending,,,,51.9,1372.0
AN_GNG_SAD_17,2,acetylcholine,ascending,,,,39.17,1376.0
AN_GNG_SAD_18,2,gaba,ascending,,,,49.23,3071.0
AN_GNG_SAD_19,2,acetylcholine,ascending,,,,24.12,680.0
AN_GNG_SAD_2,2,acetylcholine,ascending,,,,13.61,2329.0
AN_GNG_SAD_20,2,serotonin,ascending,,,,51.57,159.0
AN_GNG_SAD_21,2,acetylcholine,ascending,,,,21.41,1205.0
AN_GNG_SAD_22,2,serotonin,ascending,,,,51.39,144.0
AN_GNG_SAD_23,2,acetylcholine,ascending,,,,29.83,409.0
AN_GNG_SAD_24,2,acetylcholine,ascending,,,,37.08,418.0
AN_GNG_SAD_25,2,acetylcholine,ascending,,,,18.22,461.0
AN_GNG_SAD_26,5,octopamine,ascending,,,,44.21,95.0
AN_GNG_SAD_27,2,serotonin,ascending,,,,51.17,385.0
AN_GNG_SAD_28,2,serotonin,ascending,,,,46.77,789.0
AN_GNG_SAD_29,2,acetylcholine,ascending,,,,48.06,824.0
AN_GNG_SAD_3,2,gaba,ascending,,,,30.58,4739.0
AN_GNG_SAD_30,4,acetylcholine,ascending,,,,26.19,2902.0
AN_GNG_SAD_31,3,serotonin,ascending,,,,14.43,194.0
AN_GNG_SAD_32,8,acetylcholine,ascending,,,,24.78,3229.0
AN_GNG_SAD_33,4,gaba,ascending,,,,15.57,2518.0
AN_GNG_SAD_34,4,acetylcholine,ascending,,,,27.85,887.0
AN_GNG_SAD_35,2,serotonin,ascending,,,,53.21,530.0
AN_GNG_SAD_4,2,acetylcholine,ascending,,,,25.44,515.0
AN_GNG_SAD_5,2,serotonin,ascending,,,,45.82,1159.0
AN_GNG_SAD_6,2,gaba,ascending,,,,19.0,800.0
AN_GNG_SAD_7,2,acetylcholine,ascending,,,,38.89,414.0
AN_GNG_SAD_8,2,acetylcholine,ascending,,,,38.58,1252.0
AN_GNG_SAD_9,2,acetylcholine,ascending,,,,19.81,3216.0
AN_GNG_SPS_1,4,acetylcholine,ascending,,,,35.5,676.0
AN_GNG_VES_1,2,gaba,ascending,,,,13.8,3652.0
AN_GNG_VES_10,4,acetylcholine,ascending,,,,28.58,1074.0
AN_GNG_VES_11,2,gaba,ascending,,,,8.51,764.0
AN_GNG_VES_12,3,acetylcholine,ascending,,,,22.22,738.0
AN_GNG_VES_2,2,gaba,ascending,,,,6.84,1506.0
